episode,stage,miss,agari,draw,tenpai,average_value,average_entropy
 3010000,5, 200, 4140, 5660, 0, 0.15325487465192153, 0.02958140654382103
 3020000,5, 229, 3905, 5866, 0, 0.26687821780442034, 0.022600336327685218
 3030000,5, 169, 3967, 5864, 0, 0.24041772909924358, 0.02558431368971336
 3040000,5, 224, 3910, 5866, 0, 0.2468304747554549, 0.030089352058161635
 3050000,5, 195, 4229, 5576, 0, 0.2434313083666458, 0.028807545236128558
 3060000,5, 133, 4308, 5559, 0, 0.30761827525171687, 0.021949112924065813
 3070000,5, 181, 4264, 5555, 0, 0.2043062979678435, 0.025561615508171827
 3080000,5, 142, 4281, 5577, 0, 0.35317662973156466, 0.023651082617451507
 3090000,5, 177, 4228, 5595, 0, 0.30955453859081616, 0.020314253952564296
 3100000,5, 172, 4262, 5566, 0, 0.31269243507160466, 0.02313244490498957
 3110000,5, 132, 4611, 5257, 0, 0.3103009842939553, 0.022145543716173312
 3120000,5, 159, 4472, 5369, 0, 0.32318257157880503, 0.02445373223059725
 3130000,5, 223, 4223, 5554, 0, 0.3021829943816484, 0.01971883581175391
 3140000,5, 187, 4500, 5313, 0, 0.31800967276501263, 0.023592108214207066
 3150000,5, 213, 4068, 5719, 0, 0.271723619611168, 0.027762016952800575
 3160000,5, 188, 4084, 5728, 0, 0.31231124940710725, 0.026191281685761666
 3170000,5, 183, 4246, 5571, 0, 0.3476952567786555, 0.021057877683536966
 3180000,5, 192, 4207, 5601, 0, 0.33347953688311727, 0.024749915878162734
 3190000,5, 204, 4153, 5643, 0, 0.29001288750070175, 0.0269807087750275
 3200000,5, 141, 4282, 5577, 0, 0.3051464480954804, 0.023688028202001853
 3210000,5, 161, 4225, 5614, 0, 0.3097995686438306, 0.019564093268265886
 3220000,5, 193, 4299, 5508, 0, 0.3515845565374039, 0.025203570959301876
 3230000,5, 208, 4381, 5411, 0, 0.2904955991948181, 0.018397117949351834
 3240000,5, 151, 4427, 5422, 0, 0.3087062112853851, 0.020157178868490843
 3250000,5, 236, 4247, 5517, 0, 0.3041751134715616, 0.021912858595978104
 3260000,5, 174, 4255, 5571, 0, 0.3053235971936097, 0.02355970341999942
 3270000,5, 213, 4282, 5505, 0, 0.2887031608180975, 0.02423158240768977
 3280000,5, 246, 4442, 5312, 0, 0.35078148019893884, 0.018552406511664316
 3290000,5, 173, 4305, 5522, 0, 0.31832286258971937, 0.019163448498910808
 3300000,5, 150, 4411, 5439, 0, 0.33791639023020026, 0.02670972197077265
 3310000,5, 256, 4447, 5297, 0, 0.3421784687006947, 0.02314276522944628
 3320000,5, 187, 4220, 5593, 0, 0.3690599063721953, 0.02151838277334172
 3330000,5, 208, 4527, 5265, 0, 0.3548578823181964, 0.023363435064663974
 3340000,5, 223, 4225, 5552, 0, 0.25682357201524414, 0.02443446502697139
 3350000,5, 263, 3975, 5762, 0, 0.3714678720134669, 0.01971317345444215
